driver,q1,q2,q3
Esteban Ocon,1:18.866,1:18.216,1:18.018
Fernando Alonso,1:18.716,1:17.904,1:18.078
Lewis Hamilton,1:18.374,1:18.035,1:18.142
Valtteri Bottas,1:18.935,1:18.445,1:18.157
Daniel Ricciardo,1:18.775,1:18.198,1:18.379
Max Verstappen,1:18.509,1:17.703,1:18.823
Sergio Perez,1:19.118,1:18.516,NA
Guanyu Zhou,1:18.973,1:18.573,NA
Kevin Magnussen,1:18.993,1:18.825,NA
Lance Stroll,1:19.205,1:19.137,NA
Mick Schumacher,1:19.164,1:19.202,NA
Yuki Tsunoda,1:19.240,NA,NA
Alexander Albon,1:19.256,NA,NA
Sebastian Vettel,1:19.273,NA,NA
Pierre Gasly,1:19.527,NA,NA
Nicholas Latifi,1:19.570,NA,NA
Max Verstappen,1:44.581,1:44.723,1:43.665
Carlos Sainz,1:45.050,1:45.418,1:44.297
Sergio Perez,1:45.377,1:44.794,1:44.462
Charles Leclerc,1:45.572,1:44.551,1:44.553
Esteban Ocon,1:46.039,1:45.475,1:45.180
Fernando Alonso,1:46.075,1:45.552,1:45.368
Lewis Hamilton,1:45.736,1:45.420,1:45.503
George Russell,1:45.650,1:45.461,1:45.776
Alexander Albon,1:45.672,1:45.675,1:45.837
Lando Norris,1:45.745,1:45.603,1:46.178
Daniel Ricciardo,1:46.212,1:45.767,NA
Pierre Gasly,1:46.183,1:45.827,NA
Guanyu Zhou,1:46.178,1:46.085,NA
Lance Stroll,1:46.256,1:46.611,NA
Mick Schumacher,1:46.342,1:47.718,NA
Sebastian Vettel,1:46.344,NA,NA
Nicholas Latifi,1:46.401,NA,NA
Kevin Magnussen,1:46.557,NA,NA
Yuki Tsunoda,1:46.692,NA,NA
Valtteri Bottas,1:47.866,NA,NA
Max Verstappen,1:11.317,1:10.927,1:10.342
Charles Leclerc,1:11.443,1:10.988,1:10.363
Carlos Sainz,1:11.767,1:10.814,1:10.434
Lewis Hamilton,1:11.331,1:11.075,1:10.648
Sergio Perez,1:11.641,1:11.314,1:11.077
George Russell,1:11.561,1:10.824,1:11.147
Lando Norris,1:11.556,1:11.116,1:11.174
Mick Schumacher,1:11.741,1:11.420,1:11.442
Yuki Tsunoda,1:11.427,1:11.428,1:12.556
Lance Stroll,1:11.568,1:11.416,NA
Pierre Gasly,1:11.705,1:11.512,NA
Esteban Ocon,1:11.748,1:11.605,NA
Fernando Alonso,1:11.667,1:11.613,NA
Guanyu Zhou,1:11.826,1:11.704,NA
Alexander Albon,1:11.695,1:11.802,NA
Valtteri Bottas,1:11.961,NA,NA
Daniel Ricciardo,1:12.081,NA,NA
Kevin Magnussen,1:12.319,NA,NA
Sebastian Vettel,1:12.391,NA,NA
Nicholas Latifi,1:13.353,NA,NA
Charles Leclerc,1:21.280,1:21.208,1:20.161
Max Verstappen,1:20.922,1:21.265,1:20.306
Carlos Sainz,1:21.348,1:20.878,1:20.429
Sergio Perez,1:21.495,1:21.358,1:21.206
Lewis Hamilton,1:22.048,1:21.708,1:21.524
George Russell,1:21.785,1:21.747,1:21.542
Lando Norris,1:22.130,1:21.831,1:21.584
Daniel Ricciardo,1:22.139,1:21.855,1:21.925
Pierre Gasly,1:22.010,1:22.062,1:22.648
Fernando Alonso,1:22.089,1:21.861,NA
Esteban Ocon,1:22.166,1:22.130,NA
Valtteri Bottas,1:22.254,1:22.235,NA
Nyck De Vries,1:22.567,1:22.471,NA
Guanyu Zhou,1:22.003,1:22.577,NA
Yuki Tsunoda,1:22.020,NA,NA
Nicholas Latifi,1:22.587,NA,NA
Sebastian Vettel,1:22.636,NA,NA
Lance Stroll,1:22.748,NA,NA
Kevin Magnussen,1:22.908,NA,NA
Mick Schumacher,1:23.005,NA,NA
Charles Leclerc,1:54.129,1:52.343,1:49.412
Sergio Perez,1:54.404,1:52.818,1:49.434
Lewis Hamilton,1:53.161,1:52.691,1:49.466
Carlos Sainz,1:54.559,1:53.219,1:49.583
Fernando Alonso,1:55.360,1:53.127,1:49.966
Lando Norris,1:55.914,1:53.942,1:50.584
Pierre Gasly,1:55.606,1:53.546,1:51.211
Max Verstappen,1:53.057,1:52.723,1:51.395
Kevin Magnussen,1:55.103,1:54.006,1:51.573
Yuki Tsunoda,1:55.314,1:53.848,1:51.983
George Russell,1:54.633,1:54.012,NA
Lance Stroll,1:55.629,1:54.211,NA
Mick Schumacher,1:55.736,1:54.370,NA
Sebastian Vettel,1:55.602,1:54.380,NA
Guanyu Zhou,1:55.375,1:55.518,NA
Valtteri Bottas,1:56.083,NA,NA
Daniel Ricciardo,1:56.226,NA,NA
Esteban Ocon,1:56.337,NA,NA
Alexander Albon,1:56.985,NA,NA
Nicholas Latifi,1:57.532,NA,NA
Max Verstappen,1:30.224,1:30.346,1:29.304
Charles Leclerc,1:30.402,1:30.486,1:29.314
Carlos Sainz,1:30.336,1:30.444,1:29.361
Sergio Perez,1:30.622,1:29.25,1:29.709
Esteban Ocon,1:30.696,1:30.357,1:30.165
Lewis Hamilton,1:30.906,1:30.443,1:30.261
Fernando Alonso,1:30.603,1:30.343,1:30.322
George Russell,1:30.865,1:30.465,1:30.389
Sebastian Vettel,1:31.256,1:30.656,1:30.554
Lando Norris,1:30.881,1:30.473,1:31.003
Daniel Ricciardo,1:30.880,1:30.659,NA
